id,type,title,description,skills,source
1,job,Data Analyst,"Analyze business data, build reports, and communicate insights to stakeholders.","SQL, Python, Tableau, Excel, statistics",Curated prototype; future source: Kaggle/job boards/company career pages
2,job,Business Analyst,Translate business needs into analytical requirements and support process improvement.,"requirements gathering, SQL, communication, process mapping",Curated prototype; future source: Kaggle/job boards/company career pages
3,job,Product Analyst,"Analyze user behavior, product funnels, and experiment results to guide product decisions.","SQL, A/B testing, metrics, product analytics",Curated prototype; future source: Kaggle/job boards/company career pages
4,job,BI Analyst,Build dashboards and reporting systems for business performance tracking.,"Power BI, Tableau, SQL, dashboard design",Curated prototype; future source: Kaggle/job boards/company career pages
5,job,Marketing Analyst,"Evaluate campaign performance, customer segments, and marketing ROI.","analytics, visualization, Excel, statistics",Curated prototype; future source: Kaggle/job boards/company career pages
6,job,Financial Analyst,"Analyze financial data, budgets, forecasts, and performance trends.","Excel, finance, forecasting, SQL",Curated prototype; future source: Kaggle/job boards/company career pages
7,job,Risk Analyst,"Identify and monitor business, credit, or operational risks using data.","statistics, risk modeling, SQL, analytics",Curated prototype; future source: Kaggle/job boards/company career pages
8,job,Operations Analyst,Improve operational efficiency through process analysis and performance metrics.,"SQL, process improvement, KPIs, analytics",Curated prototype; future source: Kaggle/job boards/company career pages
9,job,Data Scientist,Build predictive models and use machine learning to solve business problems.,"Python, machine learning, statistics, modeling",Curated prototype; future source: Kaggle/job boards/company career pages
10,job,Machine Learning Analyst,Apply ML models to business data and evaluate model performance.,"Python, machine learning, evaluation, statistics",Curated prototype; future source: Kaggle/job boards/company career pages
11,job,AI Analyst,Use AI tools and data analysis to improve business workflows and decision-making.,"AI tools, Python, prompt engineering, analytics",Curated prototype; future source: Kaggle/job boards/company career pages
12,job,Analytics Consultant,"Advise clients using data analysis, dashboards, and strategic recommendations.","consulting, communication, SQL, visualization",Curated prototype; future source: Kaggle/job boards/company career pages
13,job,Customer Insights Analyst,"Analyze customer feedback, behavior, and segmentation to improve experience.","NLP, survey analysis, SQL, visualization",Curated prototype; future source: Kaggle/job boards/company career pages
14,job,Supply Chain Analyst,"Use data to optimize inventory, logistics, and supply chain performance.","optimization, SQL, forecasting, operations",Curated prototype; future source: Kaggle/job boards/company career pages
